Product ID,Product Name,Brand,Category,Description,Price,Rating,Image Path
P001,iPhone 15 Pro,Apple,Electronics,"Flagship titanium smartphone with advanced camera system, high refresh rate OLED display, and high-performance A17 Pro chip.",100500,4.6,static/images/products/electronics_cat.jpg
P002,Galaxy S24 Ultra,Samsung,Electronics,"Premium Android smartphone with integrated S-Pen stylus, 200MP quad camera, AI translation features, and bright AMOLED screen.",95800,3.8,static/images/products/electronics_cat.jpg
P003,WH-1000XM5 Headphones,Sony,Electronics,"Industry-leading active noise-canceling wireless headphones with 30-hour battery life, smart listening, and high-fidelity sound.",45200,4.7,static/images/products/electronics_cat.jpg
P004,QuietComfort Ultra,Bose,Electronics,"Over-ear noise-canceling headphones with spatial audio, customtune calibration, and ultra-comfortable ear cushions.",62400,4.6,static/images/products/electronics_cat.jpg
P005,XPS 15 Laptop,Dell,Electronics,"High-performance laptop featuring InfinityEdge display, NVIDIA GeForce RTX graphics, and premium CNC aluminum design.",123300,4.0,static/images/products/electronics_cat.jpg
P006,MacBook Air M3,Apple,Electronics,"Thinnest and lightest laptop with powerful M3 processor, liquid retina display, silent fanless design, and all-day battery life.",119500,3.9,static/images/products/electronics_cat.jpg
P007,MX Master 3S Mouse,Logitech,Electronics,"Ergonomic wireless mouse with ultra-fast scrolling, 8K DPI tracking, silent clicks, and customizable macro buttons.",98100,4.3,static/images/products/electronics_cat.jpg
P008,Charge 5 Speaker,JBL,Electronics,"Portable waterproof Bluetooth speaker with deep bass, powerbank function, and up to 20 hours of playtime.",12300,4.6,static/images/products/electronics_cat.jpg
P009,Quest 3 VR Headset,Meta,Electronics,"Mixed reality virtual reality headset with dual display resolution, slim profile, and full-color passthrough capabilities.",97000,4.0,static/images/products/electronics_cat.jpg
P010,4K Ultra Short Throw Projector,Sony,Electronics,"Premium home theater laser projector with 4K resolution, HDR support, and ultra-short throw screen scaling.",49400,4.3,static/images/products/electronics_cat.jpg
P011,Pro Mechanical Keyboard,Logitech,Electronics,Tenkeyless mechanical gaming keyboard with customizable RGB backlighting and tactile brown switches.,100700,3.9,static/images/products/electronics_cat.jpg
P012,Smart Watch Series 9,Apple,Electronics,"Smartwatch with carbon neutral case, double tap gesture control, blood oxygen tracking, and ECG heart rate monitoring.",78900,4.4,static/images/products/electronics_cat.jpg
P013,Noise-Canceling Earbuds,Sony,Electronics,"Truly wireless noise-canceling earbuds with high-resolution audio, crystal-clear call quality, and IPX4 water resistance.",79600,4.6,static/images/products/electronics_cat.jpg
P014,Portable SSD 2TB,Samsung,Electronics,"Ultra-fast external solid-state drive with up to 1050MB/s transfer speeds, rugged rubberized protection, and USB-C connectivity.",63900,4.0,static/images/products/electronics_cat.jpg
P015,4K Web Camera,Logitech,Electronics,"High-definition webcam with auto-light correction, dual noise-reducing microphones, and wide-angle view for streaming.",124000,4.0,static/images/products/electronics_cat.jpg
P016,Smart Thermostat,Google,Electronics,"Eco-friendly programmable thermostat that learns your schedule, controls heating/cooling remotely, and saves energy.",62200,4.3,static/images/products/electronics_cat.jpg
P017,Smart Home Assistant Hub,Amazon,Electronics,"Voice-controlled smart display with Alexa, premium speakers, video calling camera, and smart home hub integration.",72600,4.8,static/images/products/electronics_cat.jpg
P018,OLED 55-inch 4K TV,LG,Electronics,"Self-lit OLED pixels 4K television with Dolby Vision, high refresh rate for gaming, and smart TV streaming app suite.",94800,3.8,static/images/products/electronics_cat.jpg
P019,Noise-Canceling Wireless Earbuds,Bose,Electronics,"Comfortable noise-canceling earbuds with custom audio tuning, secure fit, and quick touch control swipe interface.",22700,3.9,static/images/products/electronics_cat.jpg
P020,Pro Streamer Microphone,Blue Yeti,Electronics,"USB condenser microphone for recording, streaming, podcasting, and gaming with multi-pattern controls.",13200,4.5,static/images/products/electronics_cat.jpg
P021,Air Max Running Shoes,Nike,Fashion,"Classic athletic sneakers with visible air cushioning, breathable mesh upper, and durable rubber traction outsole.",14870,4.3,static/images/products/fashion_cat.jpg
P022,Ultraboost Sports Shoes,Adidas,Fashion,High-performance running shoes with responsive boost midsole cushioning and Primeknit flexible upper wrap.,9140,4.1,static/images/products/fashion_cat.jpg
P023,Classic Suede Sneakers,Puma,Fashion,"Iconic streetwear sneakers featuring retro suede upper, comfortable padded collar, and vintage rubber sole.",10100,4.3,static/images/products/fashion_cat.jpg
P024,Slim Fit Leather Jacket,Zara,Fashion,"Modern asymmetrical zipper biker jacket made of premium faux leather, zip pockets, and comfortable lining.",4560,4.7,static/images/products/fashion_cat.jpg
P025,Heavyweight Oversized Hoodie,H&M,Fashion,"Casual streetwear hoodie made of soft brushed cotton-poly fleece, featuring drop shoulders and kangaroo pocket.",11320,4.0,static/images/products/fashion_cat.jpg
P026,501 Original Fit Jeans,Levi's,Fashion,"The original blue denim straight-leg jeans with classic button fly, 5-pocket styling, and copper rivet reinforcement.",15360,4.2,static/images/products/fashion_cat.jpg
P027,Compression Workout Shirt,Under Armour,Fashion,"HeatGear athletic top that wicks sweat, dries fast, and offers 4-way stretch compression fit for workouts.",9080,4.2,static/images/products/fashion_cat.jpg
P028,Polarized Aviator Sunglasses,Ray-Ban,Fashion,"Timeless sunglasses with gold metal frame, polarization to reduce glare, and full UV protection lenses.",16900,4.9,static/images/products/fashion_cat.jpg
P029,Water-Resistant Windbreaker,Columbia,Fashion,Lightweight packable hooded jacket with zippered hand pockets and drawcord adjustable hem for outdoor hikes.,16590,4.1,static/images/products/fashion_cat.jpg
P030,Stainless Steel Chronograph Watch,Fossil,Fashion,"Sophisticated analog wrist watch featuring black dial, chronograph sub-dials, and durable metal link band.",2080,4.9,static/images/products/fashion_cat.jpg
P031,Classic Trench Coat,Zara,Fashion,"Double-breasted long jacket with belt, lapel collar, storm flaps, and premium water-repellent cotton blend.",18130,4.4,static/images/products/fashion_cat.jpg
P032,Dry-Fit Training Shorts,Nike,Fashion,"Breathable athletic shorts with moisture-wicking technology, elastic waistband, and side pockets for workout convenience.",10440,4.8,static/images/products/fashion_cat.jpg
P033,Organic Cotton T-Shirt Pack,H&M,Fashion,"Pack of three soft organic cotton crewneck tee shirts, pre-shrunk for comfortable everyday casual wear.",8140,4.4,static/images/products/fashion_cat.jpg
P034,Casual Denim Jacket,Levi's,Fashion,"Traditional button-up jean jacket with chest flap pockets, waist adjusters, and durable cotton weave.",2870,4.5,static/images/products/fashion_cat.jpg
P035,Running Comfort Socks Pack,Adidas,Fashion,Six pairs of moisture-wicking athletic crew socks with arch compression support and cushioned sole padding.,4600,4.2,static/images/products/fashion_cat.jpg
P036,Leather Bi-Fold Wallet,Fossil,Fashion,"Genuine leather slim wallet with RFID blocking technology, multiple card slots, and transparent ID window.",8210,4.1,static/images/products/fashion_cat.jpg
P037,Yoga Leggings High-Waisted,Lululemon,Fashion,"Buttery-soft weightless leggings with four-way stretch, sweat-wicking properties, and hidden waistband pocket.",6320,4.9,static/images/products/fashion_cat.jpg
P038,Winter Down Parka Jacket,Columbia,Fashion,"Heavy-duty insulated winter coat with faux-fur lined hood, water-resistant shell, and thermal reflective lining.",19440,4.1,static/images/products/fashion_cat.jpg
P039,Canvas Backpack Travel Bag,Herschel,Fashion,Classic design school and travel backpack with signature striped fabric liner and padded laptop sleeve compartment.,17150,4.2,static/images/products/fashion_cat.jpg
P040,Leather Chelsea Boots,Clarks,Fashion,"Timeless slip-on ankle boots crafted from rich premium leather, with elastic side panels and cushioned footbed.",16410,4.0,static/images/products/fashion_cat.jpg
P041,Single Serve Coffee Maker,Keurig,Home & Kitchen,"Compact coffee brewer compatible with K-Cup pods, customizable brew sizes, and quick heating reservoir.",16270,4.9,static/images/products/kitchen_cat.jpg
P042,Duo 7-in-1 Instant Pot,Instant Pot,Home & Kitchen,"Multi-functional pressure cooker, slow cooker, rice cooker, steamer, sauté pan, yogurt maker, and food warmer.",43090,4.5,static/images/products/kitchen_cat.jpg
P043,V15 Detect Vacuum Cleaner,Dyson,Home & Kitchen,"Cordless stick vacuum cleaner with laser dust illumination, intelligent suction optimization, and LCD screen status.",27020,3.9,static/images/products/kitchen_cat.jpg
P044,Air Fryer Max XL,Ninja,Home & Kitchen,High-capacity air fryer that cooks crispy meals using up to 75% less fat than traditional deep frying methods.,29490,4.5,static/images/products/kitchen_cat.jpg
P045,Artisan Series Stand Mixer,KitchenAid,Home & Kitchen,"Tilt-head stand mixer with 5-quart stainless steel bowl, 10 speeds, and flat beater, dough hook, and wire whip accessories.",41630,4.4,static/images/products/kitchen_cat.jpg
P046,Premium 12-Piece Cookware Set,Cuisinart,Home & Kitchen,"Professional stainless steel pots and pans set with aluminum encapsulated bases for rapid, even heating.",14240,4.6,static/images/products/kitchen_cat.jpg
P047,Sonicare ProtectiveClean Toothbrush,Philips,Home & Kitchen,"Electric rechargeable toothbrush with pressure sensor, smart brush head replacement reminder, and travel case.",21080,3.9,static/images/products/kitchen_cat.jpg
P048,Smart Air Purifier HEPA,Levoit,Home & Kitchen,"True HEPA filtration system air purifier with air quality sensors, sleep mode, and smart app scheduling.",30800,4.0,static/images/products/kitchen_cat.jpg
P049,Centrifugal Juicer Extractor,Breville,Home & Kitchen,"High-speed juice extractor with wide feed chute, titanium reinforced disc, and micro-mesh filter basket.",22510,4.0,static/images/products/kitchen_cat.jpg
P050,High-Speed Blender System,Vitamix,Home & Kitchen,"Professional-grade blender with variable speed control, pulse feature, and aircraft-grade hardened stainless steel blades.",48280,4.1,static/images/products/kitchen_cat.jpg
P051,Non-Stick Electric Griddle,Cuisinart,Home & Kitchen,Large family-sized cooking griddle with adjustable temperature dial and removable grease drip tray.,42200,4.1,static/images/products/kitchen_cat.jpg
P052,Digital Kitchen Scale,Ozeri,Home & Kitchen,"Precision scale for cooking and baking, measuring in grams, ounces, milliliters, and pounds with high-accuracy sensors.",45890,4.5,static/images/products/kitchen_cat.jpg
P053,Memory Foam Pillows Twin Pack,Coop Home Goods,Home & Kitchen,Adjustable loft shredded memory foam pillows with breathable bamboo-derived rayon cover for sleepers.,46640,4.4,static/images/products/kitchen_cat.jpg
P054,French Press Coffee Maker,Bodum,Home & Kitchen,Stainless steel and heat-resistant borosilicate glass press with 3-part mesh filter for full-bodied coffee extraction.,30610,4.2,static/images/products/kitchen_cat.jpg
P055,14-Piece Knife Block Set,Henckels,Home & Kitchen,"High-quality forged stainless steel kitchen knives in hardwood storage block, professional edge retention.",42720,3.8,static/images/products/kitchen_cat.jpg
P056,Automatic Bread Maker Machine,Cuisinart,Home & Kitchen,"Programmable bread maker with 12 menu options, crust control, delay start, and automatic fruit/nut dispenser.",44410,4.7,static/images/products/kitchen_cat.jpg
P057,Electric Gooseneck Kettle,Fellow Stagg,Home & Kitchen,"Precision pour-over kettle with temperature control, stopwatch, and counterbalanced handle for barista-level brewing.",11900,4.9,static/images/products/kitchen_cat.jpg
P058,Slow Cooker 6-Quart Oval,Crock-Pot,Home & Kitchen,"Manual slow cooker with high, low, and warm settings, removable stoneware pot, and dishwasher safe glass lid.",9480,4.6,static/images/products/kitchen_cat.jpg
P059,Multi-Layer Shoe Rack Organizer,Simple Houseware,Home & Kitchen,"Sturdy free-standing shoe storage shelving unit, accommodating up to 20 pairs of shoes.",44610,4.5,static/images/products/kitchen_cat.jpg
P060,Bamboo Cutting Board Set,Royal Craft Wood,Home & Kitchen,"Three organic bamboo serving and chopping boards with juice grooves, knife-friendly surface.",11890,4.4,static/images/products/kitchen_cat.jpg
P061,Charge 6 Fitness Tracker,Fitbit,Fitness & Outdoors,"Activity and heart rate tracker with built-in GPS, YouTube Music controls, Google Maps integration, and battery up to 7 days.",1580,4.4,static/images/products/fitness_cat.jpg
P062,Fenix 7 Solar GPS Watch,Garmin,Fitness & Outdoors,"Rugged multisport smartwatch with solar charging lens, advanced performance metrics, and preloaded topo maps.",7130,4.3,static/images/products/fitness_cat.jpg
P063,Rambler 20 oz Tumbler,Yeti,Fitness & Outdoors,Double-wall vacuum insulated stainless steel travel mug with MagSlider lid to keep drinks hot or cold.,3310,4.5,static/images/products/fitness_cat.jpg
P064,Wide Mouth Water Bottle 32 oz,Hydro Flask,Fitness & Outdoors,Stainless steel insulated water bottle with leakproof flex cap and durable powder coat finish in vibrant colors.,47750,4.4,static/images/products/fitness_cat.jpg
P065,Adjustable Dumbbells Set,Bowflex,Fitness & Outdoors,"Space-saving selectable weight dumbbells adjusting from 5 to 52.5 lbs, replacing 15 separate weight sets.",63190,3.8,static/images/products/fitness_cat.jpg
P066,All-in-One Suspension Trainer,TRX,Fitness & Outdoors,"Bodyweight resistance workout system for home and travel, includes door anchor and suspension straps.",29550,4.8,static/images/products/fitness_cat.jpg
P067,Premium Yoga Mat 1/4 Inch,Gaiam,Fitness & Outdoors,"Thick non-slip exercise mat with alignment guide lines, textured grip surface, and carrying strap included.",64340,4.7,static/images/products/fitness_cat.jpg
P068,Ultra-Lightweight Camping Hammock,Eno,Fitness & Outdoors,"Double camping hammock made of durable breathable nylon parachute material, packing down to the size of a grapefruit.",7440,4.0,static/images/products/fitness_cat.jpg
P069,4-Person Waterproof Camping Tent,Coleman,Fitness & Outdoors,"Instant setup dome tent with rainfly, weathered welded corners, and inverted seams to keep rain water out.",65620,4.6,static/images/products/fitness_cat.jpg
P070,Adjustable Kettlebell 20-40 lbs,Bowflex,Fitness & Outdoors,"Space-efficient select-weight kettlebell replacing 6 different weights, ergonomic handle design.",14500,4.4,static/images/products/fitness_cat.jpg
P071,Deep Tissue Massage Gun,Theragun,Fitness & Outdoors,"Professional-grade percussive therapy device with brushless motor, customizable speed ranges, and quiet force technology.",40400,4.9,static/images/products/fitness_cat.jpg
P072,Folding Electric Bike 250W,Rad Power,Fitness & Outdoors,"Compact commuter e-bike with pedal assist, throttle, folding aluminum frame, and up to 45 miles range per charge.",42040,4.2,static/images/products/fitness_cat.jpg
P073,Resistance Bands Loop Set,Fit Simplify,Fitness & Outdoors,"Five heavy-duty natural latex resistance loops for physical therapy, strength training, and warmups.",7380,3.8,static/images/products/fitness_cat.jpg
P074,Hydration Backpack 2L Water bladder,CamelBak,Fitness & Outdoors,"Outdoor athletic backpack with integrated leakproof reservoir, breathable mesh straps, and storage pockets.",5970,4.7,static/images/products/fitness_cat.jpg
P075,Portable Camping Stove,Camp Chef,Fitness & Outdoors,High-output dual burner propane gas stove with wind guards and matchless ignition for outdoor cooking.,40360,4.4,static/images/products/fitness_cat.jpg
P076,Ergonomic Hiking Backpack 65L,Osprey,Fitness & Outdoors,"Heavy-load trekking backpack with adjustable anti-gravity suspension system, rain cover, and trekking pole attachments.",65870,4.6,static/images/products/fitness_cat.jpg
P077,Polarized Floating Sport Sunglasses,Oakley,Fitness & Outdoors,"Wrap-around sports sunglasses with lightweight floating frames, impact resistance, and glare-reduction lenses.",50810,4.0,static/images/products/fitness_cat.jpg
P078,Speed Jump Rope Steel Cable,Rogue Fitness,Fitness & Outdoors,"Coated cable jump rope with ball-bearing handles for smooth rotation, perfect for conditioning and cardio.",42090,4.4,static/images/products/fitness_cat.jpg
P079,Collapsible Trekking Poles Pack,Black Diamond,Fitness & Outdoors,"Strong lightweight carbon fiber walking sticks with cork handles, shock absorbing springs, and interchangeable tips.",31460,4.8,static/images/products/fitness_cat.jpg
P080,Outdoor Inflatable Stand Up Paddleboard,Retrospec,Fitness & Outdoors,"Durable military-grade PVC paddleboard package with 3-piece aluminum paddle, hand pump, fin, and carry bag.",15010,4.9,static/images/products/fitness_cat.jpg
